iter	Passed	Remaining
0	1	116
1	2	99
2	3	106
3	4	97
4	5	96
5	5	92
6	6	89
7	7	87
8	8	85
9	9	83
10	10	81
11	10	79
12	11	78
13	12	77
14	13	77
15	14	76
16	15	75
17	16	74
18	17	73
19	18	73
20	19	74
21	21	74
22	22	74
23	23	73
24	24	72
25	25	71
26	25	69
27	26	68
28	27	68
29	28	67
30	29	66
31	30	64
32	31	64
33	33	65
34	34	64
35	35	63
36	36	62
37	37	60
38	38	59
39	39	58
40	40	57
41	40	56
42	41	55
43	42	54
44	43	53
45	44	52
46	45	50
47	46	49
48	46	48
49	48	48
50	49	47
51	50	46
52	51	45
53	52	44
54	52	43
55	53	42
56	54	41
57	55	40
58	56	39
59	57	38
60	58	37
61	59	36
62	60	35
63	61	34
64	62	33
65	63	32
66	64	31
67	65	30
68	66	29
69	67	28
70	68	27
71	69	26
72	70	25
73	71	25
74	72	24
75	73	23
76	73	22
77	74	21
78	75	20
79	76	19
80	77	18
81	78	17
82	79	16
83	80	15
84	81	14
85	82	13
86	83	12
87	84	11
88	85	10
89	86	9
90	87	8
91	88	7
92	88	6
93	89	5
94	90	4
95	91	3
96	92	2
97	93	1
98	95	0
99	96	0
